îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2022/7/1,01:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,02:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,03:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,04:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,05:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,06:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,07:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,08:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,09:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,10:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,11:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,12:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,13:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,14:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,15:00,0.0,-,0,#,0.00,#,0.00,#,0.0,-
2022/7/1,16:00,0.0, ,72430, ,10.39, ,54.20, ,31.9, 
2022/7/1,17:00,0.0, ,72250, ,11.55, ,54.00, ,31.8, 
2022/7/1,18:00,0.0, ,72110, ,9.50, ,54.70, ,31.7, 
